sequence_length,experiment_number,insertion_sort_time,merge_sort_time,tim_sort_time
10,100,2.02100025489926e-06,1.7994997324422003e-05,1.0629993630573144e-06
100,100,8.840000373311333e-06,0.0002076829987345263,1.929996651597319e-06
1000,100,0.00010159500117879361,0.002846875995164738,9.546000510454178e-06
10000,100,0.0010505780024686832,0.03136266600049566,9.081999713089318e-05
